ni	xi
120	2
387	6
595	9
521	7
560	9
625	4
432	8
640	18
598	10
589	10
530	12
683	8
749	17
573	13
464	5
659	17
609	4
594	9
468	11
643	15
655	2
318	6
446	8
702	8
582	9
395	3
611	6
642	13
545	12
261	2
569	5
165	4
314	2
300	3
659	21
575	10
630	7
589	7
525	8
670	12
616	6
547	3
464	1
566	3
692	7
278	7
542	7
687	18
561	8
198	2
410	3
623	8
444	8
540	5
605	9
630	10
638	6
619	11
610	10
690	5
425	4
642	11
336	6
635	24
288	4
567	4
380	3
622	11
653	6
467	5
564	4
242	2
566	6
230	4
390	8
539	12
641	13
614	9
409	7
438	2
543	3
657	14
521	3
744	1
485	7
651	2
363	4
154	3
670	12
517	10
452	7
583	8
140	2
516	9
325	4
644	4
358	4
625	2
280	5
452	7
457	3
568	5
574	11
339	2
434	3
185	3
451	1
356	2
607	2
568	2
391	8
144	0
101	1
317	5
344	4
575	4
631	5
165	1
604	10
356	3
694	7
537	7
610	10
346	11
644	5
649	5
222	3
423	8
452	7
533	7
644	13
262	3
639	6
631	11
172	1
308	6
144	1
653	8
332	2
603	5
591	8
642	7
591	1
580	5
735	4
560	7
463	1
275	5
487	4
580	7
282	3
649	5
431	2
629	5
565	6
578	5
322	7
606	7
641	5
375	3
328	2
643	7
655	10
695	8
609	6
627	9
516	3
460	10
498	7
152	4
531	3
651	17
583	0
544	5
705	6
161	0
551	13
593	3
391	5
563	7
473	6
646	10
626	7
672	11
357	4
271	4
542	4
237	1
453	4
242	2
614	11
677	2
363	4
255	3
574	9
629	6
735	6
612	8
750	12
503	9
273	5
631	5
691	11
574	1
590	7
519	7
649	7
625	6
180	0
194	2
332	3
629	15
750	5
264	4
602	6
606	19
609	23
129	1
305	8
187	6
695	8
472	3
655	5
750	13
599	8
564	5
186	0
611	5
556	2
580	8
644	8
634	13
598	9
201	5
593	2
603	4
569	8
667	10
619	18
640	18
625	10
590	10
375	3
369	3
539	6
477	7
666	4
664	7
665	2
334	1
693	7
576	5
423	7
584	11
529	4
578	5
536	9
169	1
344	4
352	6
486	2
538	12
568	5
651	11
469	5
324	2
642	11
478	7
596	3
596	2
629	11
497	5
476	0
352	3
601	9
419	4
338	3
594	4
174	2
750	9
573	5
592	4
591	2
638	8
563	6
637	13
623	6
421	5
381	5
617	8
630	6
632	10
507	7
593	7
682	6
614	9
750	12
402	1
585	4
680	21
361	5
604	11
469	4
689	7
600	6
643	7
564	8
522	9
644	5
560	6
620	15
606	6
654	5
599	8
192	1
607	11
725	3
567	8
641	3
620	5
613	10
587	11
666	6
510	5
667	9
136	1
594	4
609	7
347	3
425	4
607	9
180	2
419	3
250	2
667	11
657	6
107	4
649	9
737	8
224	1
356	6
639	10
357	3
135	1
330	7
123	1
562	8
136	2
414	6
593	5
618	8
581	8
636	12
592	6
581	7
604	6
592	10
609	7
575	3
625	14
259	4
737	7
612	8
631	10
243	1
687	5
115	3
652	7
648	10
541	7
616	7
440	3
589	11
596	4
630	12
540	7
612	7
411	4
604	6
574	4
223	0
602	9
254	3
621	14
684	3
642	6
599	6
467	5
613	8
590	7
639	8
590	6
639	13
580	9
654	6
614	6
156	1
673	6
620	3
660	3
580	3
592	7
639	4
519	3
616	3
684	5
352	3
284	3
446	4
650	6
464	3
707	9
598	6
456	8
611	7
634	6
750	4
581	6
642	2
602	9
601	4
200	0
746	11
151	0
443	6
285	2
581	13
352	5
617	6
608	9
622	8
541	5
567	6
197	4
299	1
217	3
532	7
613	8
585	6
490	8
674	10
379	6
379	6
572	8
630	4
622	8
376	2
298	3
592	5
551	5
639	5
669	4
685	3
588	7
578	4
605	3
593	9
566	5
654	3
670	8
406	5
379	4
223	5
633	4
629	4
657	10
316	2
616	9
514	5
612	5
569	5
415	4
373	3
612	8
678	3
359	4
152	4
332	0
569	5
337	9
489	3
636	5
642	5
578	6
427	4
457	4
547	13
614	17
671	14
616	16
620	14
642	10
281	2
159	3
492	7
481	9
418	14
234	1
553	8
340	3
204	0
362	5
619	5
746	3
350	6
241	1
334	5
427	9
575	4
432	8
614	10
558	5
425	7
512	7
584	8
244	3
514	12
366	8
612	9
205	7
685	8
670	7
267	2
444	11
585	5
214	4
600	6
231	6
696	15
585	11
602	9
631	8
655	18
619	5
337	1
614	7
531	7
620	4
678	8
422	6
550	11
599	8
583	3
452	5
401	1
600	4
635	5
210	0
635	8
660	3
624	11
725	16
525	5
523	7
653	8
635	8
550	3
307	2
625	0
648	3
230	2
641	3
571	8
525	8
625	8
542	3
371	0
557	5
624	8
363	2
301	3
223	4
576	8
336	1
451	7
575	11
631	7
618	9
441	6
575	3
711	9
452	5
131	1
648	7
277	6
559	8
531	4
597	6
659	9
745	5
646	24
676	14
478	4
407	5
611	11
640	3
666	3
570	6
682	7
319	1
238	1
527	10
536	5
467	6
674	6
605	3
642	9
595	6
647	3
465	4
280	2
490	2
617	8
589	6
589	7
350	3
397	3
523	8
533	3
577	12
476	6
656	8
294	6
111	0
709	12
130	2
380	3
559	9
505	4
598	3
645	5
553	4
605	7
562	5
591	4
469	11
617	8
519	7
570	11
634	7
308	4
269	1
680	7
423	4
431	4
549	3
582	4
504	6
583	7
228	3
293	3
339	3
608	3
610	4
499	2
166	3
283	2
617	15
207	1
646	4
487	3
630	12
377	2
428	4
628	11
260	1
649	3
529	12
481	2
390	5
651	11
696	19
657	12
632	9
356	5
578	6
586	3
560	13
383	5
544	6
595	11
552	2
528	8
665	10
197	1
289	6
644	4
383	2
665	14
650	5
583	7
631	1
549	5
389	4
587	7
201	5
591	11
639	3
419	1
578	8
408	4
688	7
629	6
593	3
669	3
498	1
558	4
496	5
668	8
344	4
660	4
612	5
694	12
584	3
666	5
434	10
320	7
693	8
326	5
665	4
660	5
366	3
356	7
647	14
551	8
615	6
512	3
569	6
639	3
636	8
435	10
509	10
578	2
604	7
403	2
143	2
482	8
464	4
522	4
595	9
652	3
623	6
491	12
627	4
381	4
610	2
296	3
512	6
400	2
729	9
362	3
679	6
575	12
553	8
437	5
634	10
287	2
469	4
614	6
559	5
583	6
312	2
535	1
617	4
659	13
660	7
442	5
656	4
516	11
358	6
574	11
594	6
563	11
619	12
623	11
442	16
398	7
571	13
527	5
416	2
611	7
693	14
261	3
423	9
404	8
393	5
380	10
555	6
674	7
419	16
290	3
165	4
602	8
565	4
378	2
149	3
570	11
278	7
517	4
608	10
557	7
396	3
624	8
260	2
616	7
329	2
486	7
469	4
569	5
247	0
607	6
144	3
494	5
204	2
593	6
588	5
591	13
476	2
645	4
650	9
269	2
462	7
365	1
238	6
665	7
580	13
587	10
173	1
671	9
490	11
344	5
291	3
345	1
576	5
406	3
378	2
106	0
441	2
750	10
102	2
441	6
606	10
634	6
603	7
603	4
138	2
574	3
413	7
427	1
427	3
318	5
257	1
657	8
543	8
537	3
622	6
618	10
648	2
648	6
649	12
663	16
585	10
560	7
405	4
533	1
634	5
512	6
621	4
669	10
575	11
599	7
377	4
608	4
577	5
586	13
246	4
591	7
129	0
455	3
684	3
680	2
444	1
608	4
597	10
606	7
606	2
148	1
578	4
633	5
507	9
161	1
583	12
605	6
626	13
486	1
700	6
645	5
610	5
305	7
667	8
509	3
644	9
628	9
638	4
538	7
288	4
663	10
687	7
109	1
620	6
720	6
599	8
222	3
441	4
317	3
714	9
444	2
555	9
528	10
632	5
561	9
533	1
132	2
396	4
736	8
677	11
327	7
637	5
670	3
168	1
613	3
426	3
567	1
415	4
642	3
558	4
556	7
323	5
551	5
750	12
525	5
290	4
499	5
408	3
609	5
595	5
567	18
603	3
641	9
698	6
165	1
258	6
469	5
649	7
654	5
268	1
480	16
684	9
450	7
590	8
369	3
596	9
422	8
460	2
600	10
584	4
517	7
700	8
662	6
548	7
206	1
330	5
525	7
552	7
504	5
454	7
625	6
641	5
615	10
601	9
618	11
443	2
312	1
528	5
551	2
656	6
412	4
646	13
742	8
119	1
431	4
452	10
356	1
669	8
654	5
183	2
638	4
373	3
259	9
510	6
598	9
577	8
566	9
614	7
612	9
591	8
545	2
296	3
304	2
195	1
356	4
521	8
280	4
643	5
660	9
361	5
251	3
393	4
585	11
590	6
284	6
622	9
623	10
547	3
620	7
291	5
691	10
267	3
618	11
703	7
604	15
337	2
132	0
600	6
644	13
222	4
639	5
242	3
494	4
609	6
548	10
584	4
642	1
315	2
389	4
276	3
444	5
603	5
406	6
475	6
749	9
657	6
525	3
560	8
559	7
544	3
467	1
611	5
567	6
227	3
232	6
595	5
637	7
621	10
310	5
280	3
624	9
473	11
617	12
732	11
300	2
712	6
350	7
455	7
573	5
604	4
554	9
482	13
750	7
609	11
512	4
461	2
271	1
380	7
565	14
335	3
471	5
440	7
434	13
633	10
732	5
478	4
655	4
579	6
438	7
176	1
337	4
487	5
239	2
504	6
227	3
497	7
281	3
623	3
420	3
575	12
750	5
528	11
589	6
239	5
287	2
291	3
341	4
668	6
658	10
505	8
585	14
150	2
243	10
723	12
608	3
449	5
213	3
676	15
122	2
631	8
563	2
660	8
242	4
473	7
278	10
339	4
672	14
507	11
289	9
621	9
415	3
523	4
495	10
347	3
712	12
502	3
117	0
583	3
163	3
594	7
337	4
527	16
576	5
669	5
629	11
746	19
382	5
221	2
490	5
357	9
640	6
439	11
515	7
607	8
555	7
666	6
617	8
549	7
225	4
341	6
654	13
108	0
520	3
269	1
499	12
383	5
451	5
648	5
538	8
596	4
643	8
658	6
587	7
288	9
637	4
264	6
609	5
565	7
593	11
381	6
707	15
619	6
189	1
313	6
355	2
539	5
558	9
689	16
365	5
580	11
312	3
530	13
627	8
369	5
750	7
491	7
455	7
583	13
477	2
529	5
524	9
602	10
245	3
677	18
403	3
654	3
546	5
598	5
587	10
475	13
293	3
212	4
350	2
233	5
664	4
609	13
307	9
609	8
626	4
553	6
446	11
667	9
569	7
601	9
211	3
678	4
606	13
535	6
652	12
591	4
683	10
127	1
363	2
406	3
661	7
700	5
567	7
435	5
464	7
651	5
630	12
631	9
748	6
585	10
520	7
401	5
509	4
677	9
380	3
259	5
656	5
546	10
741	12
632	6
616	5
347	3
673	8
254	1
390	3
658	8
558	7
451	5
375	5
306	4
570	3
358	0
555	3
560	16
606	7
627	11
494	8
117	1
644	8
425	6
348	5
364	11
292	3
542	7
166	1
591	3
335	2
442	6
