,,,,,,,,,,,,,,
,Window Size,,,Efficiency,,Acceptance Rate (%),,,Estimates,,Confidence Intervals,,,
,?,?,t,?,?,?,?,t,?,?,? (Lower),? (Upper),? (Lower),? (Upper)
0,0.02,0.02,0.004,0.000585902,0.000704638,1.717171717,2.676767677,0.002676768,0.004116272,0.003793721,0.003392211,0.004867575,0.002293812,0.00523754
1,0.01,0.01,0.002,0.000622705,0.000629642,1.777777778,2.797979798,0.00279798,0.00400197,0.003986121,0.003703427,0.004308406,0.003470912,0.004496634
2,0.005,0.005,0.001,0.000613413,0.000637282,3.666666667,6.515151515,0.006515152,0.004033287,0.003965247,0.003687259,0.004385066,0.003299854,0.004619763
3,0.004,0.004,0.0008,0.000602987,0.000664237,5.282828283,8.353535354,0.008353535,0.004060564,0.00388617,0.003634507,0.004507351,0.003362693,0.004394463
4,0.003,0.003,0.0006,0.000582359,0.000718477,7.383838384,11.36363636,0.011363636,0.004135996,0.003728994,0.003671855,0.004613033,0.003078926,0.004379479
5,0.002,0.002,0.0004,0.000652182,0.000544437,10.39393939,20.38383838,0.020383838,0.003904926,0.004287797,0.003473115,0.004355455,0.003857178,0.004711545
6,0.001,0.001,0.0002,0.000607137,0.00064924,21.56565657,36.55555556,0.036555556,0.004037234,0.003922366,0.003425451,0.004688518,0.003531089,0.004315207
7,0.0008,0.0008,0.00016,0.000589596,0.000693906,26.37373737,43.32323232,0.043323232,0.004096573,0.00380599,0.003524731,0.004709123,0.003402399,0.004187
8,0.0006,0.0006,0.00012,0.000594091,0.00066675,33.95959596,53.28282828,0.053282828,0.004072647,0.003879078,0.00341038,0.004792248,0.003518549,0.004223964
